experiment,n_flagged,n_patches,brand,population,metric,value,chain_means
baseline,9,70,realprize,Web,raw_goal_d1/h7,0.5475025783693925,1.826475
baseline,9,70,realprize,Web,raw_goal_d1/h30,0.2995046739796285,1.826475;1.363367;1.340818
baseline,9,70,realprize,Web,raw_goal_d7/h30,0.5470379242260971,1.363367;1.340818
baseline,9,70,realprize,App,raw_goal_d1/h7,0.45544794636425284,2.195641
baseline,9,70,realprize,App,raw_goal_d1/h30,0.24571215584532446,2.195641;1.306131;1.419140
baseline,9,70,realprize,App,raw_goal_d7/h30,0.5394955840876965,1.306131;1.419140
baseline,9,70,realprize,Blended,raw_goal_d1/h7,0.42973517745161904,2.327015
baseline,9,70,realprize,Blended,raw_goal_d1/h30,0.21081341862334183,2.327015;1.379676;1.477493
baseline,9,70,realprize,Blended,raw_goal_d7/h30,0.4905658872831649,1.379676;1.477493
baseline,9,70,lonestar,Web,raw_goal_d1/h7,0.3805155316774386,2.628014
baseline,9,70,lonestar,Web,raw_goal_d1/h30,0.18942958431250992,2.628014;1.349905;1.488063
baseline,9,70,lonestar,Web,raw_goal_d7/h30,0.49782352766900617,1.349905;1.488063
baseline,9,70,lonestar,Blended,raw_goal_d1/h7,0.3940950668684802,2.537459
baseline,9,70,lonestar,Blended,raw_goal_d1/h30,0.1900211633113942,2.537459;1.361374;1.523426
baseline,9,70,lonestar,Blended,raw_goal_d7/h30,0.4821708752188192,1.361374;1.523426
A_early_max25,6,70,realprize,Web,raw_goal_d1/h7,0.5374694292652409,1.860571
A_early_max25,6,70,realprize,Web,raw_goal_d1/h30,0.3108371346382355,1.860571;1.350331;1.280503
A_early_max25,6,70,realprize,Web,raw_goal_d7/h30,0.5783345390698259,1.350331;1.280503
A_early_max25,6,70,realprize,App,raw_goal_d1/h7,0.461140357493148,2.168537
A_early_max25,6,70,realprize,App,raw_goal_d1/h30,0.2502809284603176,2.168537;1.298315;1.419140
A_early_max25,6,70,realprize,App,raw_goal_d7/h30,0.5427434931544383,1.298315;1.419140
A_early_max25,6,70,realprize,Blended,raw_goal_d1/h7,0.4390814339868583,2.277482
A_early_max25,6,70,realprize,Blended,raw_goal_d1/h30,0.21756872503229996,2.277482;1.365913;1.477493
A_early_max25,6,70,realprize,Blended,raw_goal_d7/h30,0.49550882408480923,1.365913;1.477493
A_early_max25,6,70,lonestar,Web,raw_goal_d1/h7,0.36844860594412615,2.714083
A_early_max25,6,70,lonestar,Web,raw_goal_d1/h30,0.1810151791482801,2.714083;1.365444;1.490693
A_early_max25,6,70,lonestar,Web,raw_goal_d7/h30,0.49129017243650647,1.365444;1.490693
A_early_max25,6,70,lonestar,Blended,raw_goal_d1/h7,0.37314872690403805,2.679897
A_early_max25,6,70,lonestar,Blended,raw_goal_d1/h30,0.17883704417403373,2.679897;1.361374;1.532664
A_early_max25,6,70,lonestar,Blended,raw_goal_d7/h30,0.4792647844676285,1.361374;1.532664
A_early_max30,6,70,realprize,Web,raw_goal_d1/h7,0.5449957517753785,1.834877
A_early_max30,6,70,realprize,Web,raw_goal_d1/h30,0.3186809774897208,1.834877;1.333005;1.282937
A_early_max30,6,70,realprize,Web,raw_goal_d7/h30,0.5847402965098085,1.333005;1.282937
A_early_max30,6,70,realprize,App,raw_goal_d1/h7,0.4547182347773688,2.199164
A_early_max30,6,70,realprize,App,raw_goal_d1/h30,0.24322066255899202,2.199164;1.317397;1.419140
A_early_max30,6,70,realprize,App,raw_goal_d7/h30,0.5348821400973143,1.317397;1.419140
A_early_max30,6,70,realprize,Blended,raw_goal_d1/h7,0.43264681550633594,2.311354
A_early_max30,6,70,realprize,Blended,raw_goal_d1/h30,0.21438031479558195,2.311354;1.365913;1.477493
A_early_max30,6,70,realprize,Blended,raw_goal_d7/h30,0.49550882408480923,1.365913;1.477493
A_early_max30,6,70,lonestar,Web,raw_goal_d1/h7,0.33608895954683166,2.975403
A_early_max30,6,70,lonestar,Web,raw_goal_d1/h30,0.16319404413380523,2.975403;1.361571;1.512549
A_early_max30,6,70,lonestar,Web,raw_goal_d7/h30,0.485568000668184,1.361571;1.512549
A_early_max30,6,70,lonestar,Blended,raw_goal_d1/h7,0.3746987636558502,2.668811
A_early_max30,6,70,lonestar,Blended,raw_goal_d1/h30,0.17957992220380792,2.668811;1.361374;1.532664
A_early_max30,6,70,lonestar,Blended,raw_goal_d7/h30,0.4792647844676285,1.361374;1.532664
B_greedy_cv,6,70,realprize,Web,raw_goal_d1/h7,0.5800226837718399,1.724071
B_greedy_cv,6,70,realprize,Web,raw_goal_d1/h30,0.34860608458075826,1.724071;1.299601;1.280266
B_greedy_cv,6,70,realprize,Web,raw_goal_d7/h30,0.6010214674946874,1.299601;1.280266
B_greedy_cv,6,70,realprize,App,raw_goal_d1/h7,0.43389678457656794,2.304696
B_greedy_cv,6,70,realprize,App,raw_goal_d1/h30,0.23529707629461138,2.304696;1.299405;1.419140
B_greedy_cv,6,70,realprize,App,raw_goal_d7/h30,0.5422881308609687,1.299405;1.419140
B_greedy_cv,6,70,realprize,Blended,raw_goal_d1/h7,0.45194968303596267,2.212636
B_greedy_cv,6,70,realprize,Blended,raw_goal_d1/h30,0.23281241023913749,2.212636;1.339465;1.449281
B_greedy_cv,6,70,realprize,Blended,raw_goal_d7/h30,0.5151290486038731,1.339465;1.449281
B_greedy_cv,6,70,lonestar,Web,raw_goal_d1/h7,0.32605432183243954,3.066974
B_greedy_cv,6,70,lonestar,Web,raw_goal_d1/h30,0.16317231724501224,3.066974;1.349905;1.480268
B_greedy_cv,6,70,lonestar,Web,raw_goal_d7/h30,0.5004451906295143,1.349905;1.480268
B_greedy_cv,6,70,lonestar,Blended,raw_goal_d1/h7,0.35987271890199446,2.778760
B_greedy_cv,6,70,lonestar,Blended,raw_goal_d1/h30,0.17396750443585893,2.778760;1.357873;1.523426
B_greedy_cv,6,70,lonestar,Blended,raw_goal_d7/h30,0.483413983051147,1.357873;1.523426
A25+B,4,70,realprize,Web,raw_goal_d1/h7,0.6120913919746499,1.633743
A25+B,4,70,realprize,Web,raw_goal_d1/h30,0.3745712180178921,1.633743;1.267667;1.289071
A25+B,4,70,realprize,Web,raw_goal_d7/h30,0.6119530889161814,1.267667;1.289071
A25+B,4,70,realprize,App,raw_goal_d1/h7,0.46999526572922345,2.127681
A25+B,4,70,realprize,App,raw_goal_d1/h30,0.26064053267869947,2.127681;1.270651;1.419140
A25+B,4,70,realprize,App,raw_goal_d7/h30,0.5545599108839988,1.270651;1.419140
A25+B,4,70,realprize,Blended,raw_goal_d1/h7,0.4750823241957795,2.104898
A25+B,4,70,realprize,Blended,raw_goal_d1/h30,0.24472870567148866,2.104898;1.339465;1.449281
A25+B,4,70,realprize,Blended,raw_goal_d7/h30,0.5151290486038731,1.339465;1.449281
A25+B,4,70,lonestar,Web,raw_goal_d1/h7,0.3081377374549076,3.245302
A25+B,4,70,lonestar,Web,raw_goal_d1/h30,0.16403416306378488,3.245302;1.306171;1.438171
A25+B,4,70,lonestar,Web,raw_goal_d7/h30,0.5323403891345487,1.306171;1.438171
A25+B,4,70,lonestar,Blended,raw_goal_d1/h7,0.37711699316675634,2.651697
A25+B,4,70,lonestar,Blended,raw_goal_d1/h30,0.18120486605142044,2.651697;1.357873;1.532664
A25+B,4,70,lonestar,Blended,raw_goal_d7/h30,0.4805003999681711,1.357873;1.532664
C_wdev_early25,9,70,realprize,Web,raw_goal_d1/h7,0.49591277798650996,2.016484
C_wdev_early25,9,70,realprize,Web,raw_goal_d1/h30,0.2651728492051924,2.016484;1.346954;1.388428
C_wdev_early25,9,70,realprize,Web,raw_goal_d7/h30,0.534716710228438,1.346954;1.388428
C_wdev_early25,9,70,realprize,App,raw_goal_d1/h7,0.46081491095752286,2.170069
C_wdev_early25,9,70,realprize,App,raw_goal_d1/h30,0.24536182344899043,2.170069;1.323410;1.419140
C_wdev_early25,9,70,realprize,App,raw_goal_d7/h30,0.5324520053814132,1.323410;1.419140
C_wdev_early25,9,70,realprize,Blended,raw_goal_d1/h7,0.4516330667858316,2.214187
C_wdev_early25,9,70,realprize,Blended,raw_goal_d1/h30,0.2186452785161169,2.214187;1.398042;1.477493
