brand,population,slice,n_users,n_users_last,d_star,shape_ok,shape_n_days,shape_mae,shape_median_ae,shape_bias,shape_median_ape,level_n_days,level_mae,level_median_ae,level_bias,level_median_ape
lonestar,Affiliate,first_5_days,5376,5376,35.0,True,35,0.029125088870633937,0.008785461815704831,-0.021904307629767444,0.010403939794525245,35,12.585729258093428,13.955635966065534,12.577034578846963,1.127619614656648
lonestar,Blended,first_5_days,10980,10980,35.0,True,35,0.016240260392172367,0.008271503326788165,-0.010183371521065618,0.009886911222987169,35,8.759204442978577,9.933738710291546,8.672853007551248,0.34348476549402057
lonestar,Web,first_5_days,2519,2519,35.0,True,35,0.052716192078003155,0.034862421012621825,-0.05112522614999676,0.04426507267120548,35,38.489365705049906,43.23427725427677,38.489365705049906,1.7789537001076439
realprize,Affiliate,first_5_days,2554,2554,35.0,True,35,0.13843283388335523,0.08897706263840555,-0.13746552055854097,0.1086393399077125,35,21.41987122471673,24.47722355201634,21.41987122471673,2.296163309794627
realprize,App,first_5_days,4374,4374,35.0,True,35,0.027087174770910136,0.030288870730843076,0.023022489458082045,0.043203216143345026,35,11.564936178581425,12.047480708222464,11.564936178581425,0.8588263059571838
realprize,Blended,first_5_days,10433,10433,35.0,True,35,0.033891032191275636,0.04004958097259087,0.02968974944582258,0.06719859499586181,35,15.358512301078395,16.96595916398479,15.358512301078395,0.8735555108163033
realprize,Web,first_5_days,687,687,35.0,True,35,0.06342967900006488,0.06948678748503379,-0.03138871752942686,0.08866032458141104,35,10.330980131771835,10.11053027749516,10.330980131771835,1.8523221384222042
lonestar,Affiliate,first_day,943,943,39.0,True,39,0.04997449431745808,0.03602444591269938,0.03975128930365368,0.044822043134745346,39,4.50975141622044,4.760013845216427,4.50975141622044,0.3496731669827737
lonestar,Blended,first_day,2040,2040,39.0,True,39,0.03816254229645211,0.025712399421505494,0.014862028336872503,0.03297618412864181,39,15.716124587080763,17.317412957586097,15.679750584329254,0.557403132263714
lonestar,Web,first_day,594,594,39.0,True,39,0.06346608885443468,0.052207223165775085,0.01961160210965773,0.06117188089478603,39,72.7287117630034,81.76639620906565,72.7287117630034,3.011752183175105
realprize,Affiliate,first_day,321,321,39.0,True,39,0.14150854564912166,0.12008341011682722,0.010172534656749003,0.14950049151078318,39,93.70819981245369,114.86673342176128,93.70819981245369,9.612030677381806
realprize,App,first_day,764,764,39.0,True,39,0.12447070791548327,0.13400897983636895,0.12340273545481494,0.18555814652572708,39,53.09471034435116,56.37251946483971,53.09471034435116,3.727965988870784
realprize,Blended,first_day,1690,1690,39.0,True,39,0.13499951699730778,0.14728516662695967,0.13499951699730778,0.24289488927192668,39,47.58232750531306,51.94568869951315,47.58232750531306,2.596231620543555
realprize,Web,first_day,133,133,39.0,True,39,0.05005354176848646,0.04939258061015073,0.03979899491295418,0.07722814399686632,39,8.416878314842497,9.056268981497762,8.416878314842497,1.6102994231955086
lonestar,Affiliate,overall_level,66642,943,,False,0,,,,,39,11.900209811482867,10.056933133211999,11.884103165512098,0.8372126146149077
lonestar,Blended,overall_level,110308,2040,,False,0,,,,,39,7.823415505765277,5.3057193198542585,7.8060025036786085,0.2096615866304509
lonestar,Web,overall_level,19692,594,,False,0,,,,,39,29.80565017628921,20.101852168635826,29.80565017628921,0.7981704530620232
realprize,Affiliate,overall_level,16020,321,,False,0,,,,,39,20.296498101854507,15.31098924541014,20.296498101854507,1.388803476835881
realprize,App,overall_level,33174,764,,False,0,,,,,39,10.780045226239599,8.85631325141526,10.780045226239599,0.6396575300015914
realprize,Blended,overall_level,77681,1690,,False,0,,,,,39,10.555497623890432,7.997120192081532,10.555497623890432,0.4235501375359805
realprize,Web,overall_level,7013,133,,False,0,,,,,39,16.72374456185881,16.665473833051582,16.72374456185881,3.1929256133951855
