brand,population,slice,n_users,d_star,prod_shape_mae,prod_shape_bias,prod_level_mae,prod_level_bias,esc_shape_mae,esc_shape_bias,esc_level_mae,esc_level_bias,shape_mae_delta,shape_winner
lonestar,Affiliate,first_5_days,5376,35.0,0.029125088870633937,-0.021904307629767444,12.585729258093428,12.577034578846963,0.029125088870633937,-0.021904307629767444,12.585729258093428,12.577034578846963,0.0,tie
lonestar,Blended,first_5_days,10980,35.0,0.016240260392172367,-0.010183371521065618,8.759204442978577,8.672853007551248,0.016240260392172367,-0.010183371521065618,8.759204442978577,8.672853007551248,0.0,tie
lonestar,Web,first_5_days,2519,35.0,0.052716192078003155,-0.05112522614999676,38.489365705049906,38.489365705049906,0.06027364024847681,-0.059621382186441085,40.325804747179504,40.325804747179504,0.007557448170473657,production
realprize,Affiliate,first_5_days,2554,35.0,0.13843283388335523,-0.13746552055854097,21.41987122471673,21.41987122471673,0.13843283388335523,-0.13746552055854097,21.41987122471673,21.41987122471673,0.0,tie
realprize,App,first_5_days,4374,35.0,0.027087174770910136,0.023022489458082045,11.564936178581425,11.564936178581425,0.027537395081845252,0.020460024000757568,12.582540882874003,12.582540882874003,0.00045022031093511564,production
realprize,Blended,first_5_days,10433,35.0,0.033891032191275636,0.02968974944582258,15.358512301078395,15.358512301078395,0.033891032191275636,0.02968974944582258,15.358512301078395,15.358512301078395,0.0,tie
realprize,Web,first_5_days,687,35.0,0.06342967900006488,-0.03138871752942686,10.330980131771835,10.330980131771835,0.060586667318839306,-0.051894485016751334,11.081613610732191,11.081613610732191,-0.0028430116812255754,winsor_esc
lonestar,Affiliate,first_day,943,39.0,0.04997449431745808,0.03975128930365368,4.50975141622044,4.50975141622044,0.04997449431745808,0.03975128930365368,4.50975141622044,4.50975141622044,0.0,tie
lonestar,Blended,first_day,2040,39.0,0.03816254229645211,0.014862028336872503,15.716124587080763,15.679750584329254,0.03816254229645211,0.014862028336872503,15.716124587080763,15.679750584329254,0.0,tie
lonestar,Web,first_day,594,39.0,0.06346608885443468,0.01961160210965773,72.7287117630034,72.7287117630034,0.06056250983613964,0.004696836717989247,74.73849057060629,74.73849057060629,-0.0029035790182950424,winsor_esc
realprize,Affiliate,first_day,321,39.0,0.14150854564912166,0.010172534656749003,93.70819981245369,93.70819981245369,0.14150854564912166,0.010172534656749003,93.70819981245369,93.70819981245369,0.0,tie
realprize,App,first_day,764,39.0,0.12447070791548327,0.12340273545481494,53.09471034435116,53.09471034435116,0.12226223993201502,0.12119426747134668,54.17245555389873,54.17245555389873,-0.002208467983468257,winsor_esc
realprize,Blended,first_day,1690,39.0,0.13499951699730778,0.13499951699730778,47.58232750531306,47.58232750531306,0.13499951699730778,0.13499951699730778,47.58232750531306,47.58232750531306,0.0,tie
realprize,Web,first_day,133,39.0,0.05005354176848646,0.03979899491295418,8.416878314842497,8.416878314842497,0.041374017360326185,0.021396383065355296,9.20478828512755,9.20478828512755,-0.008679524408160277,winsor_esc
lonestar,Affiliate,overall_level,66642,,,,11.900209811482867,11.884103165512098,,,11.900209811482867,11.884103165512098,,
lonestar,Blended,overall_level,110308,,,,7.823415505765277,7.8060025036786085,,,7.823415505765277,7.8060025036786085,,
lonestar,Web,overall_level,19692,,,,29.80565017628921,29.80565017628921,,,31.815428983892097,31.815428983892097,,
realprize,Affiliate,overall_level,16020,,,,20.296498101854507,20.296498101854507,,,20.296498101854507,20.296498101854507,,
realprize,App,overall_level,33174,,,,10.780045226239599,10.780045226239599,,,11.85779043578716,11.85779043578716,,
realprize,Blended,overall_level,77681,,,,10.555497623890432,10.555497623890432,,,10.555497623890432,10.555497623890432,,
realprize,Web,overall_level,7013,,,,16.72374456185881,16.72374456185881,,,17.511654532143858,17.511654532143858,,
