brand,population,slice,n_users,n_users_last,d_star,shape_ok,shape_n_days,shape_mae,shape_median_ae,shape_bias,shape_median_ape,level_n_days,level_mae,level_median_ae,level_bias,level_median_ape
lonestar,Affiliate,first_5_days,5376,5376,35.0,True,35,0.029125088870633937,0.008785461815704831,-0.021904307629767444,0.010403939794525245,35,12.585729258093428,13.955635966065534,12.577034578846963,1.127619614656648
lonestar,Blended,first_5_days,10980,10980,35.0,True,35,0.016240260392172367,0.008271503326788165,-0.010183371521065618,0.009886911222987169,35,8.759204442978577,9.933738710291546,8.672853007551248,0.34348476549402057
lonestar,Web,first_5_days,2519,2519,35.0,True,35,0.06027364024847681,0.04243942473168971,-0.059621382186441085,0.05290842634817719,35,40.325804747179504,45.248898047078974,40.325804747179504,2.032663637576768
realprize,Affiliate,first_5_days,2554,2554,35.0,True,35,0.13843283388335523,0.08897706263840555,-0.13746552055854097,0.1086393399077125,35,21.41987122471673,24.47722355201634,21.41987122471673,2.296163309794627
realprize,App,first_5_days,4374,4374,35.0,True,35,0.027537395081845252,0.02908997702734828,0.020460024000757568,0.046069875723091944,35,12.582540882874003,13.170448009846979,12.582540882874003,1.0163409564960866
realprize,Blended,first_5_days,10433,10433,35.0,True,35,0.033891032191275636,0.04004958097259087,0.02968974944582258,0.06719859499586181,35,15.358512301078395,16.96595916398479,15.358512301078395,0.8735555108163033
realprize,Web,first_5_days,687,687,35.0,True,35,0.060586667318839306,0.08535999297320862,-0.051894485016751334,0.10289558195430251,35,11.081613610732191,10.947668893177225,11.081613610732191,2.3639824777898526
lonestar,Affiliate,first_day,943,943,39.0,True,39,0.04997449431745808,0.03602444591269938,0.03975128930365368,0.044822043134745346,39,4.50975141622044,4.760013845216427,4.50975141622044,0.3496731669827737
lonestar,Blended,first_day,2040,2040,39.0,True,39,0.03816254229645211,0.025712399421505494,0.014862028336872503,0.03297618412864181,39,15.716124587080763,17.317412957586097,15.679750584329254,0.557403132263714
lonestar,Web,first_day,594,594,39.0,True,39,0.06056250983613964,0.04273931109835816,0.004696836717989247,0.047700947289982094,39,74.73849057060629,83.55976900510356,74.73849057060629,3.400669955443576
realprize,Affiliate,first_day,321,321,39.0,True,39,0.14150854564912166,0.12008341011682722,0.010172534656749003,0.14950049151078318,39,93.70819981245369,114.86673342176128,93.70819981245369,9.612030677381806
realprize,App,first_day,764,764,39.0,True,39,0.12226223993201502,0.13400897983636884,0.12119426747134668,0.18555814652572689,39,54.17245555389873,57.543156526873055,54.17245555389873,4.128608000504739
realprize,Blended,first_day,1690,1690,39.0,True,39,0.13499951699730778,0.14728516662695967,0.13499951699730778,0.24289488927192668,39,47.58232750531306,51.94568869951315,47.58232750531306,2.596231620543555
realprize,Web,first_day,133,133,39.0,True,39,0.041374017360326185,0.0381348136099926,0.021396383065355296,0.04838925802552356,39,9.20478828512755,10.110827526345822,9.20478828512755,2.0281550285958208
lonestar,Affiliate,overall_level,66642,943,,False,0,,,,,39,11.900209811482867,10.056933133211999,11.884103165512098,0.8372126146149077
lonestar,Blended,overall_level,110308,2040,,False,0,,,,,39,7.823415505765277,5.3057193198542585,7.8060025036786085,0.2096615866304509
lonestar,Web,overall_level,19692,594,,False,0,,,,,39,31.815428983892097,22.21409686465924,31.815428983892097,0.9623378924790676
realprize,Affiliate,overall_level,16020,321,,False,0,,,,,39,20.296498101854507,15.31098924541014,20.296498101854507,1.388803476835881
realprize,App,overall_level,33174,764,,False,0,,,,,39,11.85779043578716,9.94143123602498,11.85779043578716,0.7596931330836657
realprize,Blended,overall_level,77681,1690,,False,0,,,,,39,10.555497623890432,7.997120192081532,10.555497623890432,0.4235501375359805
realprize,Web,overall_level,7013,133,,False,0,,,,,39,17.511654532143858,17.438053334854217,17.511654532143858,3.819841543592343
