brand,scope,goal_horizon,cohort_start,cohort_end,checkpoint_day,organic_share_pct,users_org,users_acq
realprize,app,7,2026-06-23,2026-07-27,7,0.13154537457343426,1574,29501
realprize,app,30,2026-05-31,2026-07-04,7,0.14933210541382805,2618,30744
realprize,app,30,2026-05-31,2026-07-04,30,0.1501832022012209,2618,30744
realprize,app,60,2026-05-01,2026-06-04,7,0.25510153272053465,2997,26610
realprize,app,60,2026-05-01,2026-06-04,30,0.24296881848370203,2997,26610
realprize,app,60,2026-05-01,2026-06-04,60,0.2182414455345061,2997,26610
realprize,app,90,2026-04-01,2026-05-05,7,0.22698554410403193,1842,19776
realprize,app,90,2026-04-01,2026-05-05,30,0.2609906202924629,1842,19776
realprize,app,90,2026-04-01,2026-05-05,60,0.3397344339998129,1842,19776
realprize,app,90,2026-04-01,2026-05-05,90,0.33987992791789123,1842,19776
realprize,app,120,2026-03-02,2026-04-05,7,0.11234237109540324,1156,17922
realprize,app,120,2026-03-02,2026-04-05,30,0.1865852707355326,1156,17922
realprize,app,120,2026-03-02,2026-04-05,60,0.14383780363150456,1156,17922
realprize,app,120,2026-03-02,2026-04-05,90,0.12462248018276537,1156,17922
realprize,app,120,2026-03-02,2026-04-05,120,0.12148752928812646,1156,17922
realprize,app,150,2026-01-31,2026-03-06,7,0.11881629315109281,817,12835
realprize,app,150,2026-01-31,2026-03-06,30,0.14049136847783836,817,12835
realprize,app,150,2026-01-31,2026-03-06,60,0.13746258837416603,817,12835
realprize,app,150,2026-01-31,2026-03-06,90,0.12983128702685648,817,12835
realprize,app,150,2026-01-31,2026-03-06,120,0.12108480964581932,817,12835
realprize,app,150,2026-01-31,2026-03-06,150,0.12038800743891798,817,12835
realprize,app,180,2026-01-01,2026-02-04,7,0.07134377091047951,1535,18304
realprize,app,180,2026-01-01,2026-02-04,30,0.07303228514052763,1535,18304
realprize,app,180,2026-01-01,2026-02-04,60,0.07592406631120417,1535,18304
realprize,app,180,2026-01-01,2026-02-04,90,0.08135304803934809,1535,18304
