brand,population,patch,n_cohort_dates,n_users,cv_before,cv_after,existing_flagged_status,mean,std,median,MAD,relative_mad_raw,scaled_mad_cv,p10,p25,p75,p90,IQR,relative_IQR,p90_p10_ratio,relative_p10_p90_spread,p10_ratio_valid,median_denominator_valid,std_log,log_p90_p10_spread,pct_positive_for_log,n_excluded_from_log,skewness,is_focus_case,cv_percentile_within_patch,rmad_percentile_within_patch,riqr_percentile_within_patch,p10_p90_percentile_within_patch,log_dispersion_percentile_within_patch,tail_sensitivity_signal,cv_minus_rmad_rank,cv_minus_log_rank,diagnostic_interpretation
realprize,Web,1->7,30,6241,0.359043237276716,0.2445727297293478,True,1.9535015954294639,0.4415423545948306,1.835317735318577,0.3668702734428476,0.19989469201046312,0.29636387037471257,1.4671714186445721,1.5484807441844812,2.3911327106304365,2.5132412511018636,0.8426519664459553,0.45913138103015533,1.7129840584160847,0.5699666124981423,True,True,0.22641296106269154,0.538236913061718,1.0,0,0.2714168670716473,True,0.8571428571428571,1.0,1.0,0.7142857142857143,0.8571428571428571,-0.1428571428571429,-0.1428571428571429,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,Web,7->14,30,6565,0.22049361918290258,0.15072786417643433,True,1.338613144347163,0.1897957421230484,1.2637658559596132,0.12298877464178237,0.097319273235463,0.14428555449889743,1.1345095875238134,1.1894663509198877,1.4752688309076696,1.6480081231130386,0.28580247998778185,0.22615144936857307,1.452617184760853,0.4063241091438661,True,True,0.13743188033382744,0.37336688446612737,1.0,0,0.6514558715693874,True,1.0,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.1428571428571429,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,Web,14->30,30,5061,0.5362235568082949,0.2208690274214179,True,1.3302348364112981,0.2993937181659138,1.2519826299039947,0.17869753945958378,0.14273164434660468,0.2116139359082761,1.0,1.1160732901987325,1.4687227278646997,1.7278252529513132,0.35264943766596724,0.28167278781895666,1.7278252529513132,0.5813381396570372,True,True,0.2068732932347117,0.5468635385039216,1.0,0,1.3356190275842388,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,Web,30->60,29,1277,0.27288436627910007,0.2017779696058077,True,1.2666407621145046,0.2718724936045311,1.163721791567016,0.16372179156701594,0.14068808606441532,0.20858415639910216,1.0,1.030634236453202,1.3939191353082467,1.6492550863228461,0.3632848988550448,0.31217504173902383,1.6492550863228461,0.5579126308604981,True,True,0.20274268910050017,0.5003237231378225,1.0,0,0.9011893046832559,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,Web,60->90,25,497,0.39310637143245203,0.1254330855697583,False,1.0603536621542171,0.11745568292519869,1.0,0.0,0.0,0.0,1.0,1.0,1.086059867734076,1.2396123133935728,0.08605986773407603,0.08605986773407603,1.2396123133935728,0.2396123133935728,True,True,0.10077583491351191,0.21479868024253754,1.0,0,2.1324179159900543,False,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857142,0.7142857142857142,0.1428571428571428,High CV but relatively concentrated central distribution; tails appear important.
realprize,Web,90->120,25,2295,0.15881210253602396,0.12507788879900958,False,1.1548070409378668,0.13951709663856382,1.1362543601731283,0.12845082078823644,0.11304759329474846,0.16760436181879404,1.0,1.0151902817067162,1.2647051809613647,1.323635378096804,0.24951489925464854,0.2195942281943196,1.323635378096804,0.2848265225116429,True,True,0.11933492991835502,0.28038202540016993,1.0,0,0.38236650095226726,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,Web,120->150,30,1780,0.19570159855957847,0.08777486588634786,False,1.103341818675397,0.12056740472005203,1.0453552779986517,0.04535527799865169,0.043387429090600706,0.06432620236972461,1.0,1.0,1.1760294936689188,1.2796369558816412,0.17602949366891885,0.16839202649450427,1.2796369558816412,0.267504227287215,True,True,0.10433724854973957,0.24657640948396797,1.0,0,1.0694134442887828,False,0.7142857142857143,0.8571428571428571,1.0,1.0,1.0,-0.2857142857142857,-0.1428571428571428,-0.2857142857142857,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,Web,150->180,35,3337,0.08775903327087586,0.08775903327087586,False,1.1114539693276189,0.267785616819855,1.0318779517689074,0.0318779517689074,0.030893141688181525,0.045802171866897924,1.0,1.0100712994291263,1.085542941658967,1.2066049233061373,0.07547164222984071,0.0731400860929945,1.2066049233061373,0.20022224813696496,True,True,0.16808955909358386,0.18781056732959064,1.0,0,4.861886259028953,False,1.0,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.0,0.2857142857142857,0.4285714285714286,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Web,180->270,30,15743,0.23285117144645298,0.11111706963959328,False,1.2442012378531326,0.16845591218401187,1.2094626305520892,0.12526312142719354,0.10356923667001937,0.1535517502869707,1.0636395260798415,1.0981732697123952,1.3449672376312098,1.4998962886259068,0.2467939679188147,0.20405257813228958,1.4101547111115142,0.3607029696708572,True,True,0.13050032234461637,0.3436994225633814,1.0,0,0.8437391764026287,False,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.1428571428571428,0.0,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
realprize,Web,270->365,30,21064,0.3440595732499129,0.10754247774608436,False,1.2131593920712664,0.1395148942599576,1.1799093984143338,0.11353089746336387,0.0962200128382202,0.14265579103394524,1.0658110082117407,1.0711596149008815,1.3247058301699564,1.3933471754733704,0.25354621526907484,0.21488617313313427,1.3073116760270498,0.277594337075204,True,True,0.1131970678645171,0.2679728729517818,1.0,0,0.4549005040388151,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
