brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok,method,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,frozen_shape,shape_signed_bias,shape_ae,shape_ape,level_signed_bias,level_ae,level_ape
lonestar,App,launch_day,1,208,1,3434.59,16.512451923076924,0.5639072684584695,29.28221153846154,33,True,native_ls_app,0.0005901061941982564,0.33762183461493167,0.00039087345829540593,4.045430136018371,6855.4273379805245,0.1354187192571991,0.42848854920127044,0.42848854920127044,3.1641751712881545,12.467021787058552,12.467021787058552,3.0817543173119666
lonestar,App,launch_day,3,208,1,5484.05,26.365625,0.9003973270724219,29.28221153846154,33,True,native_ls_app,0.0010861278530671758,0.33762183461493167,0.000719427374688259,7.445870576458812,6855.4273379805245,0.24924673602479336,0.6511505910476285,0.6511505910476285,2.6124738940728056,18.91975442354119,18.91975442354119,2.540972775347279
lonestar,App,launch_day,7,208,1,5554.99,26.70668269230769,0.912044592575566,29.28221153846154,33,True,native_ls_app,0.0018279913189705318,0.33762183461493167,0.0012108215361995322,12.53166166166166,6855.4273379805245,0.41949100968952163,0.4925535828860444,0.4925535828860444,1.1741695805366572,14.17502103064603,14.17502103064603,1.1311365893329157
lonestar,App,launch_day,14,208,1,5984.85,28.77331730769231,0.9826210452000591,29.28221153846154,33,True,native_ls_app,0.002281186768819759,0.33762183461493167,0.0015110083068315238,15.638510138006435,6855.4273379805245,0.5234911845650863,0.45912986063497285,0.45912986063497285,0.8770536623580693,13.134807169685875,13.134807169685875,0.8399014390612707
lonestar,App,launch_day,21,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True,native_ls_app,0.0027917272386656484,0.33762183461493167,0.001849179166602875,19.138483232133368,6855.4273379805245,0.6406510063653491,0.35344819405496386,0.35344819405496386,0.5517016137385105,9.970939844789712,9.970939844789712,0.5209890315680074
lonestar,App,launch_day,28,208,1,6075.7300000000005,29.210240384615386,0.9975421544321671,29.28221153846154,33,True,native_ls_app,0.0035192648235529414,0.33762183461493167,0.0023310841773292036,24.126064280978042,6855.4273379805245,0.8076077489407587,0.1899344054914084,0.1899344054914084,0.2351815045614933,5.084176103637343,5.084176103637343,0.2107337543507215
lonestar,App,launch_week,1,2000,7,12780.349999999999,6.390174999999999,0.1487017805794277,42.97309,27,True,native_ls_app,0.0005901061941982564,0.33762183461493167,0.00039087345829540593,4.045430136018371,6855.4273379805245,0.17233167654254058,-0.02362989596311288,0.02362989596311288,0.13711870294072007,2.344744863981628,2.344744863981628,0.5796033512246965
lonestar,App,launch_week,3,2000,7,21230.09,10.615045,0.24701609774861433,42.97309,27,True,native_ls_app,0.0010861278530671758,0.33762183461493167,0.000719427374688259,7.445870576458812,6855.4273379805245,0.3171873735589567,-0.07017127581034238,0.07017127581034238,0.22122972621197168,3.1691744235411887,3.1691744235411887,0.42562845955998596
lonestar,App,launch_week,7,2000,7,35738.89,17.869445,0.41582871978719704,42.97309,27,True,native_ls_app,0.0018279913189705318,0.33762183461493167,0.0012108215361995322,12.53166166166166,6855.4273379805245,0.5338374885750905,-0.11800876878789346,0.11800876878789346,0.2210574778157307,5.337783338338339,5.337783338338339,0.42594378003902833
lonestar,App,launch_week,14,2000,7,49178.57,24.589285,0.5722019291607842,42.97309,27,True,native_ls_app,0.002281186768819759,0.33762183461493167,0.0015110083068315238,15.638510138006435,6855.4273379805245,0.6661864326157104,-0.09398450345492626,0.09398450345492626,0.1410783811461096,8.950774861993565,8.950774861993565,0.5723547053398906
